Andaman & Nicobar,0.13,0.13,0.08,0.82
Andhra Pradesh,9.92,12.63,13.15,41
Arunachal Pradesh,0.61,0.65,2.1,3.42
Assam,13.91,21.73,38.02,213.3
Bihar,42.58,8.4,103.22,295.84
Chandigarh,0.32,1.14,0.87,2.4
Chhattisgarh,9.99,10.45,13.95,43.84
Dadra & Nagar,0.1,0,0.15,0.21
Daman & Diu,0.08,0.04,0.08,0.46
Delhi,6.39,12.63,20.83,76.28
Goa,0.34,0.72,1.27,1.82
Gujarat,10.07,5.29,27.76,51.41
Haryana,13.89,16.74,33.34,64.15
Himachal Pradesh,0.74,3.64,4.5,9.45
Jammu & Kashmir,1.27,2.36,12.73,14.64
Jharkhand,19.26,16.5,31.13,54.98
Karnataka,15.13,5.17,64.82,79.33
Kerala,3.32,20.74,47.31,55.99
Lakshadweep,0,0,0.13,0.03
Madhya Pradesh,23.51,25.24,31.88,169.09
Maharashtra,23.46,23.03,170.46,223.79
Manipur,0.56,0.37,1.06,4.74
Meghalaya,0.71,1.18,1.98,2.91
Mizoram,0.23,0.42,0.29,0.69
Nagaland,0.26,0.08,0.32,1.15
Odisha,16.98,15.33,54.38,125.18
Puducherry,0.29,0.1,0.44,0.63
Punjab,7.5,11.11,1.96,47.07
Rajasthan,21.16,70.16,23.59,114.7
Sikkim,0.17,0.14,0.53,1.04
Tamil Nadu,17.75,3.7,46.74,41.27
Telangana,10.09,9.15,16.84,50.53
Tripura,1.82,0.97,2.77,15.9
Uttar Pradesh,62.19,34.23,86.96,371.81
Uttarakhand,2.56,5.47,7.2,13.22
West Bengal,23.77,20.13,25.86,374.7
